wl,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
347.290009,0.0521,0.0509,0.0509,0.0544,0.0562,0.055,0.0551,0.0532,0.0535,0.0893,0.0933,0.099,0.1344,0.1568,0.11,0.1091,0.1105,0.1109,0.1097,0.1115,0.1113,0.1105,0.1104,0.1123,0.1114,0.1109,0.1122,0.1108,0.1117,0.112,0.1116,0.1113,0.1125,0.1118,0.1118,0.1123,0.1096,0.1135,0.1122,0.1116,0.1122,0.1118,0.1128,0.1125,0.1138,0.1126,0.1118,0.1132,0.1127,0.1127,0.1095,0.1141,0.1154,0.0525,0.0651,0.0639,0.0679,0.0735,0.0773,0.0758,0.0758,0.0744,0.0717,0.0819,0.077699994,0.0773,0.0753,0.0705,0.0787,0.0776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060942013,0.060942013,0.10333544,0.057787523,0.053254265,0.039395191,0.11536669,0.0585078,0.13630217,0.036232251
352.299988,0.052721207,0.051243192,0.051993159,0.055001954,0.05716537,0.055745813,0.055679925,0.053747096,0.054065243,0.089546082,0.093910812,0.099575771,0.135709876,0.157740502,0.110800315,0.110006285,0.110738255,0.110792778,0.10964035,0.113359405,0.112267864,0.111097592,0.110655149,0.112422507,0.112742914,0.111779279,0.113235045,0.111503279,0.112852514,0.112705846,0.11179857,0.11267734,0.112988084,0.112651782,0.113004116,0.113721105,0.110501788,0.11396737,0.11260573,0.11140627,0.112804447,0.112500994,0.112520733,0.112872692,0.114053146,0.112287486,0.112072473,0.113270707,0.112694458,0.113818579,0.110393679,0.113846767,0.115966557,0.053380042,0.065955247,0.064406023,0.068850688,0.074123492,0.078052463,0.07734925,0.076824725,0.075459148,0.073136558,0.082737792,0.078925444,0.078718205,0.076686349,0.072699206,0.079737541,0.079152644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061168099,0.061168099,0.104098205,0.059771656,0.053573759,0.039559104,0.115917131,0.058870783,0.137155741,0.036877635
357.309998,0.053417777,0.051683024,0.05235555,0.055530026,0.057642325,0.056493943,0.05593937,0.054271391,0.054596851,0.090522084,0.095089369,0.100746941,0.137348358,0.159034509,0.112189657,0.111828808,0.112211565,0.112016027,0.111224871,0.114637158,0.113652916,0.112465453,0.112241674,0.113530461,0.11422315,0.113359302,0.114417246,0.11304774,0.114279544,0.114041947,0.113517314,0.114319423,0.114934648,0.113920489,0.114341765,0.115010054,0.112267589,0.11574598,0.114466076,0.112872617,0.114267603,0.114307265,0.113917828,0.114538998,0.115776189,0.113997174,0.113834986,0.115123744,0.114267078,0.115223262,0.112526217,0.116071287,0.117655709,0.053590946,0.066667753,0.065034397,0.069343944,0.074757543,0.078677387,0.077823193,0.077665575,0.076532533,0.073790876,0.083446185,0.080169884,0.079675146,0.077375944,0.073266448,0.08092916,0.080063426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062762622,0.062762622,0.105809133,0.063507593,0.054755568,0.040279594,0.118040963,0.060114957,0.140037557,0.037359096
362.320007,0.054409048,0.052716172,0.053478626,0.056546949,0.058694713,0.057076868,0.057124216,0.05551826,0.055740097,0.091464398,0.096218011,0.101933621,0.139402964,0.161575595,0.114248998,0.113376097,0.113972085,0.113951631,0.113154116,0.11640512,0.115227601,0.114217823,0.1144028,0.115652948,0.116020016,0.115111638,0.116574843,0.114486127,0.115966339,0.1156687,0.114860383,0.116055935,0.11639931,0.116144421,0.116284706,0.117339493,0.114565357,0.117501693,0.116463142,0.11464906,0.116384873,0.116197034,0.115872985,0.116463164,0.117448873,0.116154806,0.115775929,0.116861221,0.117007294,0.117251358,0.114586062,0.118181028,0.119324048,0.055150167,0.068063956,0.066816762,0.071226624,0.076462329,0.0803729,0.079733974,0.079736856,0.078597928,0.075842708,0.085305788,0.081671811,0.081772378,0.079314185,0.075426807,0.082974324,0.081995296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064622883,0.064622883,0.106496149,0.064324959,0.056056475,0.04099297,0.120229577,0.061391837,0.142830688,0.038214898
367.320007,0.055344638,0.053531246,0.054447691,0.057525063,0.059900638,0.058516416,0.058072618,0.056741894,0.056734348,0.092818262,0.09766452,0.103444136,0.14193452,0.163876909,0.115660502,0.115693933,0.116017893,0.115722782,0.115012646,0.118681295,0.117268802,0.116334328,0.11604681,0.117089632,0.118081092,0.117262502,0.118296559,0.117054368,0.117832637,0.117792917,0.117138628,0.118088377,0.118451072,0.11781339,0.118038163,0.119310812,0.116729825,0.119549159,0.11880854,0.116646463,0.118312801,0.1182431,0.11763312,0.118762985,0.119527285,0.117984665,0.118190656,0.11897883,0.119186666,0.118899719,0.116909593,0.120625217,0.121950694,0.056102569,0.069478144,0.067599825,0.072462107,0.077858859,0.082009158,0.081609311,0.081048172,0.08017569,0.076896904,0.086902308,0.083384491,0.083250056,0.080611701,0.07653502,0.084533226,0.083547863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066381111,0.066381111,0.107892706,0.065743641,0.057314778,0.041700484,0.122376321,0.062603917,0.145678716,0.038846221
372.329987,0.056417926,0.054656659,0.055644048,0.058792977,0.061159697,0.059872548,0.059362226,0.05804152,0.057884646,0.094657637,0.099514114,0.105447591,0.146173605,0.168404353,0.118847814,0.118213673,0.118741159,0.118852523,0.117574169,0.121103557,0.119883156,0.11886218,0.118789621,0.119550968,0.120809001,0.119831538,0.121310803,0.119403288,0.120408652,0.120456925,0.119713323,0.120641545,0.120954379,0.120867436,0.120674395,0.121569066,0.119333915,0.122061822,0.121746649,0.119672843,0.121185577,0.121179731,0.120567436,0.121782924,0.122462916,0.120859689,0.121154236,0.121425538,0.121738704,0.121821932,0.119910723,0.123425664,0.12480037,0.058054559,0.071809173,0.069744704,0.075042337,0.080267556,0.084544585,0.084101154,0.083724229,0.082785534,0.079523251,0.089459691,0.085878099,0.086059769,0.083210957,0.079377956,0.087375415,0.086565571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068596466,0.068596466,0.110270641,0.06771507,0.058969396,0.042648165,0.12521016,0.064238146,0.149372451,0.039889398
377.339996,0.05839433,0.056597582,0.057542366,0.060646905,0.063177988,0.061590457,0.061339698,0.059928819,0.059859125,0.096518472,0.101569777,0.107613134,0.150720973,0.173274262,0.121547448,0.121247883,0.121887554,0.121758871,0.12065017,0.124168993,0.123096309,0.121844835,0.121842924,0.122708515,0.123972794,0.123032004,0.124149567,0.122569034,0.123735088,0.123493476,0.122933163,0.12384714,0.124582587,0.123802061,0.12388433,0.124673913,0.12247803,0.12541723,0.124762974,0.122706545,0.123959917,0.124278827,0.123542167,0.124562558,0.125491295,0.123985162,0.124282876,0.124751866,0.124992479,0.124754581,0.123007437,0.126536053,0.127676522,0.059896449,0.074025774,0.07193988,0.077352765,0.08281241,0.087255716,0.086585499,0.086417786,0.085450284,0.08241674,0.09235087,0.088697958,0.088676355,0.085790806,0.081474731,0.090003388,0.089079438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07120019,0.07120019,0.11291184,0.069501645,0.06094762,0.043689388,0.12868043,0.066240245,0.154105921,0.041243747
382.350006,0.060123868,0.058022764,0.05920201,0.062527278,0.064953777,0.063508507,0.063172636,0.062000617,0.061733934,0.098889072,0.103940303,0.110134717,0.156087382,0.179439396,0.125392188,0.124863511,0.125483108,0.125379538,0.124065655,0.128111711,0.126524655,0.125434018,0.125542565,0.12658414,0.127700861,0.126506286,0.127762696,0.126165407,0.12726566,0.127135127,0.126481178,0.12769815,0.128130317,0.127520705,0.127458624,0.128602747,0.126051847,0.129012728,0.128567048,0.126487139,0.127897609,0.127751149,0.127445437,0.128006574,0.129334962,0.127777525,0.127593023,0.12850086,0.128802501,0.128592563,0.126328341,0.130043552,0.131330072,0.062128758,0.07672153,0.074422475,0.080377117,0.085797906,0.090127365,0.089815818,0.089468154,0.088510392,0.085005503,0.09552465,0.092036604,0.092043956,0.088753328,0.084776455,0.093170745,0.092559698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074075132,0.074075132,0.11641829,0.071326112,0.063157929,0.044887947,0.132680199,0.068544361,0.159591704,0.042807688
387.350006,0.062038184,0.059961892,0.060941631,0.064243172,0.066914412,0.065409426,0.06514656,0.064011582,0.063704504,0.100784734,0.106001667,0.112416572,0.160998725,0.184510482,0.128093604,0.128107507,0.128553201,0.128267496,0.127446125,0.131288675,0.129557094,0.128764662,0.128854496,0.129634172,0.130786085,0.129543239,0.131112439,0.129377419,0.130548466,0.130169645,0.129612195,0.13075007,0.131215285,0.130940701,0.130478821,0.131726108,0.129062878,0.131944894,0.131710655,0.129590776,0.13109526,0.131177715,0.13026362,0.131614051,0.132484245,0.130244097,0.131022418,0.131673529,0.13176189,0.131958135,0.129923707,0.133748527,0.134935975,0.06407482,0.079008202,0.076797792,0.082793106,0.088213493,0.092921872,0.09246047,0.092160534,0.091141451,0.087672482,0.098257089,0.094565954,0.094722666,0.091378516,0.087175738,0.096337266,0.095156355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076962651,0.076962651,0.119245202,0.072690428,0.065494595,0.046115761,0.136894928,0.070899174,0.165803197,0.044318056
392.359985,0.063556917,0.06122731,0.062491946,0.065755618,0.068262468,0.06687765,0.066519156,0.065396825,0.065210958,0.102188118,0.107661666,0.114028655,0.165326123,0.189213671,0.130590997,0.130238971,0.130809116,0.130800493,0.129698389,0.133427076,0.132095612,0.131090614,0.131176854,0.131774383,0.133048353,0.131958231,0.13316248,0.131874583,0.132698945,0.132522443,0.131974759,0.133158908,0.133765084,0.133100538,0.132768579,0.133779189,0.132271006,0.134542426,0.1345594,0.132218877,0.133439776,0.133732321,0.133039726,0.13459358,0.135135901,0.133846027,0.134043007,0.134203021,0.134968788,0.134463779,0.133011843,0.136609743,0.137916709,0.065609088,0.081107318,0.078873942,0.084666532,0.090250429,0.095071592,0.094686596,0.094364315,0.093618736,0.089929281,0.100655688,0.096947359,0.097040929,0.09354026,0.089163439,0.098751612,0.097584914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079526765,0.079526765,0.12241452,0.074827818,0.067569894,0.047244848,0.140643514,0.072995864,0.171741262,0.045772256
