wl,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
347.290009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352.299988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357.309998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362.320007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367.320007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372.329987,0.003573464,0.004297353,0.004225656,0.004247232,0.004240176,0.004093538,0.004277872,0.003924668,0.010375289,0.005678761,0.00629843,0.005736296,0.005701629,0.006142265,0.006653444,0.007612598,0.007830772,0.009684249,0.00754124,0.006847201,0.006987951,0.00709974,0.00901923,0.008985956,0.008510819,0.009065635,0.008405737,0.008041974,0.00825495,0.007046853,0.009237961,0.009214172,0.008877605,0.00867351,0.00913211,0.008582525,0.008661235,0.007468956,0.007779061,0.00682597,0.008114132,0.007975194,0.004196092,0.004221622,0.005192474,0.004020091,0.004427359,0.004313718,0.005230691,0.004865725
377.339996,0.022466536,0.027017661,0.026566896,0.026702549,0.026658186,0.025736267,0.026895184,0.024674569,0.065229928,0.035702633,0.039598526,0.036064359,0.035846406,0.038616711,0.041830512,0.047860759,0.049232433,0.060885327,0.047412127,0.043048674,0.043933574,0.044636398,0.056704323,0.056495125,0.05350792,0.056996072,0.052847263,0.050560265,0.051899259,0.044303896,0.058079493,0.057929932,0.055813917,0.054530761,0.057414,0.053958733,0.054453592,0.046957676,0.048907319,0.042915191,0.051013928,0.050140416,0.026381025,0.026541535,0.032645329,0.025274499,0.027835013,0.027120549,0.032885599,0.030591042
382.350006,0.0263627,0.031675909,0.031096668,0.031256902,0.031248,0.030131519,0.031491663,0.028935097,0.076319761,0.041974773,0.046294692,0.042282084,0.042033153,0.04525364,0.049008861,0.055887476,0.057470198,0.071251957,0.055672765,0.05056434,0.051462428,0.052258205,0.066321396,0.066078643,0.062530346,0.066594602,0.061878839,0.059213926,0.060774717,0.051951512,0.068209333,0.068009385,0.06552916,0.064036969,0.067396082,0.063379505,0.063943498,0.055139063,0.057517654,0.050467681,0.059885341,0.058839805,0.030984484,0.031134468,0.038225594,0.029642797,0.032620943,0.031777865,0.03850195,0.035868843
387.350006,0.027717277,0.033162215,0.032291704,0.032465661,0.032680642,0.0313265,0.03275781,0.030325388,0.079085126,0.044550335,0.047784248,0.04426445,0.044038178,0.047266907,0.051132317,0.057338163,0.058862738,0.073914137,0.058732936,0.053423063,0.053638081,0.054324351,0.068602951,0.068361886,0.064407482,0.068530772,0.064365673,0.061661036,0.063247893,0.054435828,0.072013778,0.071676451,0.069083089,0.067584357,0.070990573,0.066964672,0.067470906,0.058169523,0.061142569,0.053633212,0.063089947,0.061883918,0.032724392,0.032682656,0.039768042,0.031088845,0.034082689,0.033171804,0.040029583,0.037569833
392.359985,0.02828148,0.033793567,0.032779749,0.032973334,0.033277123,0.031827234,0.033287904,0.030926816,0.080124223,0.045439231,0.04834296,0.044954688,0.044741081,0.047980886,0.051876564,0.057839056,0.059331763,0.074838738,0.059795839,0.054417539,0.05439269,0.055036405,0.069471121,0.069204652,0.065106086,0.069258993,0.065285327,0.062567034,0.064158977,0.055366155,0.073438554,0.07305243,0.070416037,0.068920418,0.072333826,0.068299432,0.068778879,0.059302352,0.062490732,0.054824216,0.064292314,0.063021557,0.033451806,0.033332019,0.040415645,0.031699099,0.034699572,0.033770438,0.040682133,0.038173166
